Task,Level,mIoU,BIoU
genus,Ungrouped,0.14650251584417717,0.03611986550773506
genus,Grouped,0.4936494482032432,0.14286638881112207
health,Ungrouped,0.07062310271299524,0.03290512016031928
health,Grouped,0.6096659685161442,0.15052605192614196
fish,Ungrouped,0.816334131188795,0.32051408336912257
human_artifacts,Ungrouped,0.7100386847645406,0.3697092711017827
substrate,Ungrouped,0.5447486013067905,0.06787591141296274
background,Ungrouped,0.6840731554519163,0.10812439518613924
biota,Ungrouped,0.3566019589844554,0.09723945638743234
