Task,Level,Focused mIoU,Holistic mIoU,Δ mIoU,Focused BIoU,Holistic BIoU
genus,Ungrouped,0.14650251584417717,0.15419092630991138,0.007688410465734208,0.03611986550773506,0.0395392858790217
genus,Grouped,0.4936494482032432,0.5134485784383396,0.019799130235096385,0.14286638881112207,0.15393857412067835
health,Ungrouped,0.07062310271299524,0.071217894492878,0.0005947917798827668,0.03290512016031928,0.03472357241205596
health,Grouped,0.6096659685161442,0.6143023945168484,0.004636426000704241,0.15052605192614196,0.16390417804763735
fish,Ungrouped,0.816334131188795,0.8262665828969027,0.009932451708107637,0.32051408336912257,0.3650103974116497
human_artifacts,Ungrouped,0.7100386847645406,0.7315561274040123,0.02151744263947175,0.3697092711017827,0.40513396443649163
substrate,Ungrouped,0.5447486013067905,0.5453887908307778,0.0006401895239873667,0.06787591141296274,0.08058498153837454
background,Ungrouped,0.6840731554519163,0.6998084172758686,0.01573526182395235,0.10812439518613924,0.13388490645007245
biota,Ungrouped,0.3566019589844554,0.40349619104065276,0.04689423205619736,0.09723945638743234,0.12231514414915949
